DEVELOPER_ID,NAME
1027,Apache
1028,Apapappa Games
1029,Apar Games
1030,Apathus Software
1031,"ApathyWorks, LLC"
1032,Ape Apps
1033,Ape Law
1034,Ape Man Robot
1035,Ape Marina
1036,"Apefoot Studios, LLC"
1037,Apeirogon Games
1038,Apeiron
1039,Aperico Software
1040,Apillo
1041,AploveStudio
1042,Apoapsis Studios
1043,Apocoplay LLC
1044,Apology Games
1045,AppChu Indie Games
1046,AppFactoryHaru-Ni
1047,AppGeneration
1048,AppRoarr Studios
1049,Apparition Games
1050,Appeal
1051,Applava
1052,Apple Cider
1053,Apple Dash
1054,AppleCoffee
1055,Applemint
1056,Applepine Games
1057,Application Systems Heidelberg
1058,Appliks Apps Studios
1059,Applimazing
1060,Appmania
1061,Appmania/i-Free
1062,Appnori Inc.
1063,Appnormals Team
1064,Appocalypse Games
1065,AppsByBrats
1066,Appsif Apps ltd
1067,Appsolutely Studios
1068,AppyArt Games
1069,Aproldvin
1070,Apus Software
1071,AquaBomber
1072,Aqualuft Games
1073,Aquiris Game Studio
1074,Ara Interactive
1075,Arachnid Games
1076,Aragronks Games
1077,Arai Koh Create Office
1078,Arakion LLC
1079,Aratog LLC
1080,Arbatskii Anatolii
1081,Arberth Studios
1082,Arbitrary Metric
1083,Arc System Works
1084,Arc-gen
1085,Arcade Distillery
1086,Arcade Injection
1087,Arcade Zone
1088,Arcane Architect
1089,Arcane Four Studios
1090,Arcane Raise
1091,Arcani Interactive
1092,Arcanity Inc
1093,"Arcen Games, LLC"
1094,Archetype Edge LTD.
1095,Archetype Global
1096,Archetype Interactive
1097,Archetype Studios
1098,Archiact
1099,Archive Entertainment
1100,Archon Interactive
1101,Arclight Worlds
1102,Arctic Anteater
1103,Arctic Bird Studio
1104,ArcticFox223
1105,Arcturus
1106,Arcturus Interactive
1107,Arcturus Studios Inc
1108,Arcupion Art
1109,Arcus Plume
1110,Ardentsquid
1111,Ardi Studio
1112,Ardoetia Productions
1113,Area 120
1114,Area64 Productions
1115,Areal Czech
1116,Arevoatl Games
1117,Argali Entertainment
1118,Argent Games
1119,Argeus Games
1120,Arglefumph
1121,Argonauts Interactive
1122,Argonauts Studios
